unit_name,reference_unit_amount,reference_unit_name
units,1,units
pcs,1,pcs
dozen,12,units
tbsp,14.175,g
tsp,5.69,g
cups,250,g
g,1,g
grams,1,g
kg,1000,g
ltbsp,15,ml
ltsp,5,ml
lcup,250,ml
ml,1,ml
L,1000,ml
pint,568.261,ml
pints,568.261,ml
hour,60,mins
hours,60,mins
minutes,1,mins
mins,1,mins
